state,county,"2020","2021","2022","2023"
 Georgia,Dooly County,"11,156","10,869","10,585","10,981"
 Georgia,Dougherty County,"85,155","82,235","82,895","82,645"
 Georgia,Douglas County,"144,648","145,748","147,453","149,160"
 Georgia,Early County,"10,794","10,635","10,560","10,563"
 Georgia,Echols County,"3,721","3,698","3,686","3,709"
 Georgia,Effingham County,"65,169","66,764","69,034","71,541"
 Georgia,Elbert County,"19,668","19,571","19,873","20,013"
 Georgia,Emanuel County,"22,893","22,899","22,946","23,119"
 Georgia,Evans County,"10,792","10,697","10,659","10,754"
 Georgia,Fannin County,"25,436","25,797","25,733","25,955"
 Georgia,Fayette County,"119,491","120,715","121,981","123,351"
 Georgia,Floyd County,"98,583","98,487","99,437","100,113"
 Georgia,Forsyth County,"252,901","260,783","267,312","272,887"
 Georgia,Franklin County,"23,471","23,510","24,146","24,782"
 Georgia,Fulton County,"1,069,394","1,062,451","1,073,698","1,079,105"
 Georgia,Gilmer County,"31,427","32,106","32,403","32,860"
 Georgia,Glascock County,"2,899","2,901","2,928","2,954"
 Georgia,Glynn County,"84,482","84,786","85,145","86,172"
 Georgia,Gordon County,"57,722","58,239","58,855","59,757"
 Georgia,Grady County,"26,224","25,850","25,994","26,066"
 Georgia,Greene County,"19,028","19,544","20,111","20,722"
 Georgia,Gwinnett County,"958,359","965,338","976,173","983,526"
